description,compatible_printers,code,upc,stock,part_num,color,brand,yield,type,comments,ean
Dell 5130 Waste Container [25k],,U162N,657379558375,0,330-5844,,dell,,,,
Dell 5130 Yellow Drum Kit,,X951N,884116017868,0,330-5853,yellow,dell,,,,
Dell 5130 Black Imaging Unit [50k],,P623N,884116017837,0,330-5849,black,dell,,,,
Dell 5130 Magenta Imaging Unit [50k],,T229N,884116017851,0,330-5855,magenta,dell,,,,
Dell 5130 Cyan Imaging Unit [50k],,U163N,884116017844,0,330-5847,cyan,dell,,,,
Dell 5230/5350/5355 Fuser [300k],,P0K6X,884116098102,0,330-6967,,dell,,,,
Dell 5530/5535 Black Toner [36k],,Y4Y5R,884116037644,0,330-9792,black,dell,,,,
Dell 2360/3460/3465 Black Toner [8.5k],,2PFPR,884116091790,0,331-9806,black,dell,,,,
Dell b3460/b3465 Roller Kit,,QSP-AKP5012,799666153310,0,QSP-AKP5012,null,dell,,,,
Dell 5460/5465 U&R Toner [6k],,T6J1J,884116092094,0,331-9797,black,dell,,,,
Dell 5460/5465 Toner [45k],,4T14T,884116092148,0,332-0132,black,dell,,,,
Dell 5460/5465/5830 Imaging Unit [100k],,9PN5P,884116093428,0,331-9754,,dell,,,,
Dell/Lexmark MS81X/b5460 SVC Fuser,,40X8514,40X8514,0,6RVJY,,dell,,,,
Dell 5460/5465 Imaging Drum [100k],,WX76W,884116091844,0,331-9773,black,dell,,,,
Dell 3760 Cyan Toner [9k],,2PRFP,884116087724,0,331-8424,cyan,dell,,,,
Dell 3760/3765 Yellow Toner [3k],,06WKR,881314666287,0,604K74346,yellow,dell,,,,
Dell 3760/3765 Yellow Toner [5k],,KGGK4,884116087748,0,331-8426,yellow,dell,,,,
Dell 3760/3765 Yellow Toner [9k],,V0PNK,884116087700,0,331-8422,yellow,dell,,,,
Dell Genuine SVC Pick,,DRU1093,997251433704,0,DRU1093,,dell,,,,
Dell 5840 Yellow Toner [12k],,FKRWV,884116214939,0,593-BBYE,yellow,dell,,,,
Dell S5840 Fuser [200k],,PT1RY,884116227458,0,591-BBCQ,null,dell,,,,
HP Calibration Sheet T2500/T3500,,CN727-60025,CN727-60025,0,CN727-60025,,hp,,,,
HP 42X Black Toner [20k],,Q5942X,829160221762,0,SEB42XR,black,hp,,,,
"HP Wide Format Roll Paper, 24 in. x 150 ft.",,C1860A,848412012682,0,C1860A,,hp,,,,
HP 14X Black Toner [17.5k],,CF214X,886111043378,0,PTCF214X,black,hp,,,,
HP 650A Magenta Toner [15k],,CE273A,884962161197,0,CE273A,magenta,hp,,,,
HP 650A Yellow Toner [15k],,CE272A,884962161180,0,HP-CE272A,yellow,hp,,,,
HP Designjet Inkjet Large Paper 24in  x 150 ft,,C6019B,848412012750,0,C6019B,null,hp,,,,
HP Toner Collection Unit,,CE980A,884962340776,0,CE980A,,hp,,,,
HP 39A Black Toner [18k],,TRQ1339A/SEB39A,718103110648,0,791249,black,hp,,,,
HP 643A (Q5952A) Yellow Toner [10k],,HPQ5952A,829160493893,0,Q5952A,yellow,hp,,,,
HP 643A (Q5953A) Magenta [10k],,HPQ5953A,829160493909,0,Q5953A,magenta,hp,,,,
HP 643A (Q5950A) Black Toner [11k],,HPQ5950A,829160493879,0,Q5950A,black,hp,,,,
HP 650A Black Toner [13.5k],,CE270A,702403621379,0,HP-CE270A,black,hp,,,,
HP 650A Cyan Toner [15k],,CE271A,884962161173,0,CE271A,cyan,hp,,,,
HP 730 Photo Black Ink [300ml],,P2V73A,190781771319,0,P2V73A,photo black,hp,,,,
HP 56 Black/57 Tri-color Ink,,C9321FN#140,882780668003,0,C9321FN,black,hp,,,,
HP 124A Cyan Toner [2k],,Q6001A-ER,842740034408,0,Q6001A,cyan,hp,,,,
HP 643A (Q5951A) Cyan Toner [10k],,HPQ5951A,829160493886,0,Q5951A,cyan,hp,,,,
HP CE977A Fuser Kit,,CE977A,884962322017,0,HEWCE977A,,hp,,,,
HP 730 Yellow Ink [300ml],,P2V70A,190781771289,0,P2V70A,yellow,hp,,,,
HP 730 Gray Ink [300ml],,P2V72A,190781771302,0,P2V72A,gray,hp,,,,
HP 730 Cyan Ink [130ml],,P2V68A,190781771265,0,P2V68A,cyan,hp,,,,
HP 72 Matte Black Ink [130ml],,HPC9403A,808736779746,0,C9403A,matte black,hp,,,,
HP 72 Black Ink [130ml],,HPC9370A,808736779760,0,C9370A,photo black,hp,,,,
HP 72 Cyan Ink [130ml],,HPC9371A,808736779784,0,C9371A,cyan,hp,,,,
HP 72 Gray Ink [130ml],,HPC9374A,808736779845,0,C9374A,gray,hp,,,,
HP 72 Yellow Ink [130ml],,HPC9373A,808736779821,0,C9373A,yellow,hp,,,,
HP 72 Magenta Ink [130ml],,HPC9372A,808736779807,0,C9372A,magenta,hp,,,,
HP 727 Printhead 6 Colors (B3P06A),,B3P06A,887111963673,0,B3P06A,black,hp,,,,
HP 727 Cyan Ink [130ml],,B3P19A,887111963741,0,B3P19A,cyan,hp,,,,
HP 727 Magenta Ink [130ml],,B3P20A,887111963758,0,B3P20A,magenta,hp,,,,
HP 727 Yellow Ink [130ml],,B3P21A,887111963765,0,B3P21A,yellow,hp,,,,
HP 727 Matte Black Ink [130ml],,B3P22A,887111963772,0,B3P22A,matte black,hp,,,,
HP 727 Photo Black Ink [130ml],,B3P23A,887111963789,0,B3P23A,photo black,hp,,,,
HP 727 Gray Ink [130ml],,B3P24A,887111963796,0,B3P24A,gray,hp,,,,
HP 727 Matte Black Ink [300ml],,C1Q12A,887758278048,0,C1Q12A,matte black,hp,,,,
HP 727 Cyan Ink [300ml],,F9J76A,889296103301,0,F9J76A,cyan,hp,,,,
HP 727 Yellow Ink [300ml],,F9J78A,889296103325,0,F9J78A,yellow,hp,,,,
HP 727 Photo Black Ink [300ml],,F9J79A,889296103332,0,F9J79A,photo black,hp,,,,
HP 727 Gray Ink [300ml],,F9J80A,889296103349,0,F9J80A,gray,hp,,,,
"Lexmark MS/MX 321,421,521,622 Imaging Unit [60k]",,56F0ZA0,734646637503,0,56F0ZA0,,lexmark,,,,
Lexmark Black Return Program Imaging Unit,,58D0Z00,734646669481,0,58D0Z00,black,lexmark,,,,
"Lexmark MS/MX 421,521,622,ms621,mx522 Black Toner [20k]",,56F1X00,734646637220,0,56F1X00,black,lexmark,,,,
"Lexmark MS/MX 331,431 Black Toner [3k]",,55B1000,734646709910,0,55B1000,black,lexmark,,,,
Lexmark MS821 Black Toner [15k],,58D1H00,734646669221,0,58D1H00,black,lexmark,,,,
56F1H0E HIGH YIELD CONTRACT,,56F1H0E,734646638005,0,,black,lexmark,,,,
"Lexmark MS/MX 331,431 Black Toner [15k]",,55B1H0E,734646710435,0,55B1H0E,black,lexmark,,,,
Lexmark MS821 Black Toner [55k],,58D1U0E,734646669887,0,58D1U0E,black,lexmark,,,,
"Lexmark MS823, 825, MX822, MS/MX725,826 Black Toner [55k]",,58D1U00,734646669245,0,58D1U00,black,lexmark,,,,
Lexmark CS820 Cyan Toner [8k],,72K10C0,734646582452,0,72K10C0,cyan,lexmark,,,,
Lexmark CS820 Magenta Toner [8k],,72K10M0,734646582469,0,72K10M0,magenta,lexmark,,,,
Lexmark CS820 Yellow Toner [8k],,72K10Y0,734646582476,0,72K10Y0,yellow,lexmark,,,,
Lexmark CS820 Black Toner [33k],,72K1XK0,734646582520,0,72K1XK0,black,lexmark,,,,
"Lexmark ms521dn,mx622ade Imaging Unit [60k]",,56F0Z00,734646637497,0,56F0Z00,,lexmark,,,,
Lexmark  MS/MX 331/431 Black Toner [15k],,55B1H00,734646709927,0,55B1H00,black,lexmark,,,,
Lexmark MS 521/621/622 Black Toner [25k],,56F1U00,734646637237,0,56F1U00,black,lexmark,,,,
Lexmark CS820 Waste Container,,72K0W00,734646597784,0,72K0W00,null,lexmark,,,,
Lexmark CS820 Black Toner [8k],,72K10K0,734646582483,0,72K10K0,black,lexmark,,,,
"Lexmark MS/MX 421,521,621,622 Black Toner [6k]",,56F000G,734646637510,0,56F000G,black,lexmark,,,,
Lexmark Separator Roller Assembly,,40X7713,783555096512,0,40X7713,,lexmark,,,,
Lexmark Pick Roller Assembly,,40X7593,734646497923,0,P40X7593,none,lexmark,,,,
Lexmark Transfer Roller,,P40X7582,841261180472,0,40X7582,,lexmark,,,,
Brother DR400 Black Drum Unit [20k],,BRTDR400,12502525967,0,DR-400,black,brother,,,,
Brother TN460 Black Toner [3k],,BRTTN460,12502525981,0,TN-460,black,brother,,,,
Canon  CNM2182C003  GPR-58 Toner Bottle Cartridge  1 Each,,2182C003,13803292961,0,,black,canon,,,,
Canon  CNM2183C003  GPR-58 Toner Bottle Cartridge  1 Each,,2183C003,13803292978,0,,cyan,canon,,,,
Canon 054H Original Toner Cartridge - Magenta Laser - High Yield - 2300 Pages - 1 Each,,2184C003,13803292985,0,,magenta,canon,,,,
Canon  CNM2185C003  GPR-58 Toner Bottle Cartridge  1 Each,,2185C003,13803292992,0,,yellow,canon,,,,
3765C003 High Yield Toner 60K&#44; Magenta,,3765C003,13803325317,0,,magenta,canon,,,,
Canon DR-6080/7580/9080C Exchange Roller Kit,,8927A004,13803036718,0,NONE,,canon,,,,
Canon imageClass T03 Black Toner [51.5k],,CNMT03,13803302707,0,T03,black,canon,,,,
Canon T06 Black Toner [20.5k],,CNMT06,13803317541,0,,null,canon,,,,
Epson 252XL Black Ink [1.1k],,T252XL120-S,10343910331,0,T252XL120-S,black,epson,,,,
Xerox 6515 Black Toner [5.5k],,106R03480,95205832570,0,106R03480,black,xerox,,,,
Xerox 6515 Cyan Toner [4.3k],,106R03690,95205839456,0,106R03690,black,xerox,,,,
Xerox 6515 Magenta Toner [4.3k],,106R03478,95205839463,0,106R03478,magenta,xerox,,,,
Xerox 6515 Yellow Toner[4.3k],,106R03692,95205839470,0,106R03692,yellow,xerox,,,,
