"Description","Compatible_printers","code","UPC","Stock","Part_num","color","brand","yield","type","comments","ean"
"AmazonCommercial Electrical Tape, 3/4-inch by 60-feet, BLack, 6-Pack, Model: DS-TPAMZ013 (B07YDRY8ZS)","","DS-TPAMZ013","672352802832","1","DS-TPAMZ013","","AmazonCommercial","","","","0672352802832"
"Intel - Core i7-14700K 14th Gen 20-Core 28-Thread - 4.3GHz (5.6GHz Turbo) Socket LGA 1700 Unlocked Desktop Processor - Multi","","BX8071514700K","735858546928","1","BX8071514700K","","Intel","","","","0735858546928"
"DEWALT Screwdriver Bit Set, Impact Ready, FlexTorq, 40-Piece (DWA2T40IR) (B00GMXFK3G)","","DWA2T40IR","885911344821","1","DWA2T40IR","Black","Dewalt","","","","0885911344821"
"Netgear GS308E Ethernet Switch","","GS308E-100NAS","606449140606","1","GS308E-100NAS","Black","NETGEAR","","","","0606449140606"
"Cooler Master MWE Gold 850 V2 Fully Modular  850W  80+ Gold Efficiency  Quiet HDB Fan  2 EPS Connectors  High Temperature Resilience  5 Year Warranty","","MPE-8501-AFAAG-US","884102078590","1","MPE-8501-AFAAG-US","Black","Cooler Master","","","","0884102078590"
"Asus 90MC09P0-M0AAY0 ThunderboltEX 4 Expansion Card","","90MC09P0-M0AAY0","195553115254","1","90MC09P0-M0AAY0","Grey","ASUS","","","","0195553115254"
"WORKPRO 3Pcs Spirit Level Set(9   12   24 )? W002900A","","LIVE-8418","820909710158","1","LIVE-8418","","WORKPRO","","","","0820909710158"
"Crucial - X8 1TB External USB-C 3.2 Gen 2/USB-A Portable SSD - Black","","CT1000X8SSD9","649528822413","1","CT1000X8SSD9","Black","Crucial","","","","0649528822413"
"TP-Link TL-SG105 | 5-Port 10/100/1000Mbps Desktop Switch | Plug and Play  No Configuration","","TL-SG105","845973021146","1","TL-SG105","Royal Blue","TP-Link","","","","0845973021146"
"Sengled - Smart Hub - White","","E39-G8CNAW","840696102165","1","E39-G8CNAW","","Sengled","","","","0840696102165"
"Triton Products?? 83-Piece Steel Pegboard Hook & Plastic Bin Kit  79 Hooks & 4 Bins","","76983","819175001725","1","76983","Unknown","Triton Products","","","","0819175001725"
"Logitech - Lift Vertical Wireless Ergonomic Mouse with 4 Customizable Buttons - Graphite","","910-006466","097855170927","1","910-006466","Gray","Logitech","","","","0097855170927"
"Sceptre IPS 24"" LED Gaming Monitor 1ms HDMI DisplayPort up to 165Hz AMD FreeSync Premium Build-in Speakers, Edgeless Machine Black 2021 (E248B-FPN168) (B08G3LXB5C)","","E248B-FPN168","792343324829","1","E248B-FPN168","","Sceptre","","","","0792343324829"
"Intel - Core i9-12900KS 12th Generation 16-core 24-thread (2.5GHz-5.5GHz Turbo) Socket LGA1700 Unlocked Desktop Processor - Grey/Black/Gold","","BX8071512900KS","735858513289","1","BX8071512900KS","Multicolor","Intel","","","","0735858513289"
"DEWALT 20-Volt Max 1/2-in Cordless Drill","","DCD771C2","885911325905","1","DCD771C2","Black","DEWALT","","","","0885911325905"
"kobalt 100-piece household tool set with hard case","","89998","099198899985","1","89998","Espresso","Kobalt","","","","0099198899985"
"StarTech.com 1U Adjustable Mounting Depth Vented Rack Mount Shelf - 175lbs / 80kg","","ADJSHELF","065030826358","1","ADJSHELF","Black","StarTech","","","","0065030826358"
"NETGEAR - 5-Port 10/100/1000 Mbps Gigabit Smart Managed Plus Switch - Gray","","GS105E200NAS","606449101515","1","GS105E200NAS","Gray","NETGEAR","","","","0606449101515"
"ASUS Tek PRIME Z790M-PLUS ASUS MB PRIME Z790M-PLUS Z790 LGA1700 MicroATX Motherboard","","PRIME Z790M-PLUS","197105025745","1","PRIME Z790M-PLUS","","AsusTek","","","","0197105025745"
